1,923,196
1,962,192
1,988,199
1,1019,213
1,1048,231
1,1065,257
1,1075,281
1,1079,309
1,1078,337
1,1066,362
1,1051,378
1,1028,390
1,1003,397
1,977,390
1,955,378
1,951,375
1,945,389
1,940,407
1,937,421
1,935,431
1,921,426
1,895,416
1,875,409
1,871,405
1,881,374
1,896,341
1,905,319
1,914,312
1,917,311
1,933,317
1,954,328
1,967,331
1,984,331
1,997,324
1,1001,313
1,1004,301
1,996,289
1,990,280
1,980,276
1,962,275
2,923,196
2,962,192
2,988,199
2,1019,213
2,1048,231
2,1065,257
2,1075,281
2,1079,309
2,1078,337
2,1066,362
2,1051,378
2,1028,390
2,1003,397
2,977,390
2,955,378
2,951,375
2,945,389
2,940,407
2,937,421
2,935,431
2,921,426
2,895,416
2,875,409
2,871,405
2,881,374
2,896,341
2,905,319
2,914,312
2,917,311
2,933,317
2,954,328
2,967,331
2,984,331
2,997,324
2,1001,313
2,1004,301
2,996,289
2,990,280
2,980,276
2,962,275
