1,795,388
1,787,349
1,778,328
1,765,309
1,745,299
1,725,295
1,706,303
1,694,322
1,690,356
1,695,378
1,701,415
1,713,439
1,728,461
1,750,476
1,771,471
1,782,457
1,792,426
1,796,412
1,794,392
1,836,387
1,836,352
1,839,324
1,846,302
1,858,283
1,880,276
1,905,283
1,921,297
1,933,317
1,943,348
1,946,371
1,944,400
1,936,433
1,925,454
1,908,465
1,888,464
1,864,451
1,847,428
1,844,404
1,839,390
1,948,369
1,970,360
1,988,349
1,1018,340
1,1047,333
1,1072,333
1,1102,334
1,1116,344
1,1123,364
1,1119,379
1,1108,383
999,48,175
999,1039,125
999,1070,864
999,86,884
999,48,174
