376,660
369,632
380,596
375,574
342,588
312,576
301,544
290,512
248,490
242,405
209,321
216,287
232,286
223,308
196,301
208,242
242,263
265,311
271,365
286,404
322,375
306,386
307,399
287,376
282,291
251,258
242,212
256,192
267,197
251,196
240,217
256,252
280,262
306,252
327,275
342,326
318,226
324,211
327,225
301,221
284,198
289,148
318,150
345,183
363,244
380,292
391,341
361,359
376,354
405,354
420,332
412,284
373,198
371,178
385,164
403,171
397,192
367,200
336,174
328,137
342,105
385,112
427,156
451,229
455,286
468,354
481,377
517,287
467,224
473,200
511,208
540,248
563,340
560,441
535,492
489,562
477,561
485,550
511,569
519,617
509,684
