63,340
118,367
143,422
154,479
185,510
219,485
233,505
234,556
204,579
186,568
182,525
196,513
232,538
258,547
270,512
270,463
312,495
360,534
418,566
443,564
468,526
480,454
477,400
453,372
440,401
433,449
424,494
409,506
387,490
371,463
388,441
416,456
444,472
478,496
509,516
537,518
554,491
570,454
583,412
592,362
600,325
588,282
571,284
551,317
530,369
513,420
499,450
478,456
463,443
468,428
496,427
524,433
553,447
579,459
602,460
628,444
657,409
671,360
659,351
638,363
610,393
593,410
571,419
558,412
564,400
579,398
615,412
644,429
671,446
712,441
724,416
695,406
634,408
585,402
557,373
522,327
480,303
439,303
393,308
343,311
297,298
262,294
226,302
187,311
158,311
110,299
